File Name,Company Name,Document Type,Date,Preferred Stock Type,Order of Priority,Liquidation Preference,Liquidation Multiple,Number of Preferred Stocks Issued,Original Issue Price
81_2009-12-03_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2009-12-03,C,2,$2.600000,1,"11,923,077",N/A
81_2009-12-03_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2009-12-03,C-1,2,$2.730000,1,"2,014,652",N/A
81_2009-12-03_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2009-12-03,D,1,$3.140000,1,"955,414",N/A
81_2010-06-10_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2010-06-10,A,5,$1.000000,1,"26,069,980",N/A
81_2010-06-10_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2010-06-10,B,4,$1.850000,1,"16,944,378",N/A
81_2010-06-10_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2010-06-10,C,3,$2.600000,1,"11,923,077",N/A
81_2010-06-10_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2010-06-10,C-1,3,$2.730000,1,"2,014,652",N/A
81_2010-06-10_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2010-06-10,D,2,$3.140000,1,"955,414",N/A
81_2010-06-10_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2010-06-10,E,1,$3.140000,1.22^(x/365) * Series E Preferred Stock where x is the number of days elapsed from the date of issuance,"3,662,422",N/A
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,A,6,$1.000000,1,"26,069,980",N/A
